Country / Economy,sum(Original Principal Amount (US$)),sum(Cancelled Amount (US$)),sum(Undisbursed Amount (US$)),sum(Disbursed Amount (US$)),sum(Borrower's Obligation (US$))
China,59569200000,6267204561,4652925923,48739956075,14025377871
Colombia,35530988071,2001219270,1274294066,32301706324,17011459666
Costa Rica,4917770500,463779433.5,1475182746,3126736320,1936947672
Cabo Verde,62000000,56571.37,472917,59660390.16,38392966.95
Cyprus,418800000,94656258.01,0,324143742,-0.01
Czechia,626000000,114342545.6,0,511686256.7,0
Denmark,85000000,0,0,85000000,0
Dominica,7760000,2763956.4,0,4996043.6,0
Dominican Republic,5346440000,250201300.5,1342567879,3783670821,2353507679
Algeria,5891830000,1605314650,0,4286515350,-0.01
Ecuador,11815580000,1211272277,799115480.4,9805192242,7265377013
Estonia,150700000,19676222.12,0,125411712.3,0
"Egypt, Arab Republic of",24547450000,2955404947,1653496805,19917546461,12437581178
Spain,478700000,62396194.65,0,416303805.4,0
Ethiopia,108600000,3022.78,0,108596977.2,-0.02
Finland,316779464.4,14542428.74,0,302237035.7,0.01
Fiji,379850000,10160282.21,25000000,344689717.8,174220706.1
France,250000000,0,0,250000000,0
Gabon,1611500000,123508497.2,462584251.5,1053861031,638733825.3
Grenada,40198161,5893630.41,1019013.31,33285517.28,12703343.12
Georgia,2541800000,50190906.77,477635471.1,2038733319,1889975745
Ghana,190500000,780020.83,0,189719979.2,0
Guinea,75200000,1700000,0,73500000,0
Greece,490800000,118459339.8,0,372340660.2,-0.05
Guatemala,5547610000,655039693.1,898706749,4263863558,1996626091
Guyana,79950000,3738478.12,0,76211521.88,0
Honduras,717250000,26269346.96,0,690980653,0
Croatia,5513759331,511882441.6,524198578.8,4458923839,1315636565
Haiti,2600000,0,0,2600000,0
Hungary,5611360000,2181104063,0.01,3425004041,0
Indonesia,70946978591,8901363300,6730832837,55558259649,22428651740
Ireland,152500000,2153546.65,0,150346453.4,-0.03
Israel,284500000,701448.93,0,283798551.1,0
India,88255256777,16153968231,12291352118,60240601393,23267495708
Iraq,6134520000,493383218.8,1299194965,4341941817,2560883479
"Iran, Islamic Republic of",3553100000,517669599,0,3033351174,129922342.5
Iceland,47014000,0,0,47014000,0.01
Italy,399628000,1600000,0,398028000,0.03
Jamaica,3254100000,151212966.4,82672774.88,3020214259,1120248762
Jordan,11845200000,771081300.7,2018175981,9055942719,6002533330
Japan,862900000,5858996.19,0,857041003.8,-0.05
Kenya,3336214900,321713436.4,3094971.2,3003477461,2016124521
St. Kitts and Nevis,27319322,3118387.99,0,24200934.01,0
"Korea, Republic of",15647000000,728538693.2,0,14918461307,0.04
Philippines,34288695115,3117463310,3939124520,27463530545,16169058002
Pakistan,13648350000,1227322049,2418447461,10005812289,3080065114
Poland,16450600000,1205598967,148090000,15106679299,5468998203
Portugal,1338800000,365155999.8,0,973628417.8,0.01
Paraguay,2760850000,138664632.6,434408198.9,2187777168,1142140770
Romania,18076850000,971434236.5,1210518226,15826046901,6914172295
Russian Federation,14151100000,3681746497,0,10469215928,0
Seychelles,239000000,625885.31,35813450.18,203093809.2,179837810.6
Sudan,166000000,27014050.6,0,138985949.4,0
Singapore,181300000,1946755.45,0,179353244.6,-0.02
Slovenia,371845701.1,66852188.75,0,299278073.7,0
Slovak Republic,574520000,27735951.13,0,596975665.3,0
Sierra Leone,18700000,0,0,18700000,0
Senegal,162950000,33624524.04,0,129325476,0.01
Suriname,58000000,0,24171254.29,33828745.71,32478918.56
El Salvador,4349415000,355441897.9,1277926014,2716047088,1224420517
Syrian Arab Republic,613200000,194580424,0,418619576,0.01
Eswatini,569000000,55591797.41,92320389.6,476442102,308396853.1
Chad,39500000,2139893.71,0,37360106.29,0
Togo,3500000,0,0,3500000,0
Thailand,9274900000,990535952.5,140760000,8143604048,374500000
Turkmenistan,109500000,51600566.1,0,57899433.9,20000000
Tunisia,13416530000,800345561.8,1820717286,10896756393,4774726258
Timor-Leste,15000000,46317.37,0,14953682.63,11894445.62
Turkiye,58163266500,4779266633,12601609451,41312339293,13746946876
Trinidad and Tobago,353600000,45990338.01,0,307609662,19788482.5
"Taiwan, China",329400000,19614824.25,0,309785175.8,0
Tanzania,361030400,5477944.02,0,355552456,-0.01
Ukraine,26019448577,1452810783,551426592.4,24000992384,16846136809
Uganda,43199700,277411.36,0,42922288.63,0.03
Uruguay,5248360000,770657201.5,52622147.17,4515832889,1280541920
Uzbekistan,5798430000,455320827.2,605724056.1,4737385117,3987853181
St. Vincent and the Grenadines,14642161,4943783.71,0,9698377.29,-0.01
"Venezuela, Republica Bolivariana de",3328400000,762163399.4,0,2566346997,0.01
Viet Nam,3963123000,824814328.3,635634534.7,2602674137,2012621904
Kosovo,385645134,0,0,385645134,79791150.11
Serbia,7625294508,634449226.1,715233270.6,6156216837,2694818892
"Yugoslavia, former",1625943611,1054542236,0,571401374.9,0.01
South Africa,9579120000,757615361.4,1700522046,7092998209,5067561686
Zambia,635350000,53220016.22,0,582129983.8,0.02
"Congo, Democratic Republic of",330000000,28484478.13,0,301515521.9,-0.01
